Season,Week,Celebrity,Rank_Rule_Rank,Percent_Rule_Rank,New_Rank,Is_Non_Elimination,Raw_Share,Dynamic_K
1,1,Joey McIntyre,1,1,1,True,0.0,100.0
1,1,John O'Hurley,2,2,2,True,0.0,100.0
1,1,Rachel Hunter,3,3,3,True,0.0,100.0
1,1,Evander Holyfield,4,4,4,True,0.0,100.0
1,1,Trista Sutter,5,5,5,True,0.0,100.0
1,1,Kelly Monaco,6,6,6,True,0.0,100.0
1,2,John O'Hurley,1,1,1,False,0.2819434969895058,97.09803556085812
1,2,Rachel Hunter,4,4,4,False,0.0564206058146002,97.09803556085812
1,2,Joey McIntyre,2,3,2,False,0.2185000936274456,97.09803556085812
1,2,Trista Sutter,5,6,5,False,0.0230231404623033,97.09803556085812
1,2,Kelly Monaco,3,2,3,False,0.3054743527496807,97.09803556085812
1,2,Evander Holyfield,6,5,6,False,0.1146383103564657,97.09803556085812
1,3,Rachel Hunter,3,4,4,False,0.0697243065984178,100.0
1,3,John O'Hurley,1,2,1,False,0.2848678178308262,100.0
1,3,Joey McIntyre,4,3,3,False,0.2274836150194967,100.0
1,3,Kelly Monaco,2,1,2,False,0.3185278254680573,100.0
1,3,Evander Holyfield,5,5,5,False,0.0993964350831971,100.0
1,4,Kelly Monaco,1,1,1,False,0.3429537431738622,100.0
1,4,Rachel Hunter,2,4,4,False,0.0762922496170338,100.0
1,4,John O'Hurley,3,3,3,False,0.2702424787017572,100.0
1,4,Joey McIntyre,4,2,2,False,0.3105115285073497,100.0
1,5,John O'Hurley,1,1,1,True,0.0,100.0
1,5,Kelly Monaco,2,2,2,True,0.0,100.0
1,5,Joey McIntyre,3,3,3,True,0.0,100.0
1,6,Kelly Monaco,1,1,1,True,0.5293715224043042,100.0
1,6,John O'Hurley,2,2,2,True,0.4706284775956962,100.0
2,1,Drew Lachey,1,2,1,False,0.2146291576493046,100.0
2,1,Giselle Fernandez,4,6,6,False,0.0248733157910232,100.0
2,1,Tatum O'Neal,5,8,7,False,0.0245759086691966,100.0
2,1,Stacy Keibler,3,3,2,False,0.1500639370144461,100.0
2,1,Jerry Rice,2,1,3,False,0.2845233967649919,100.0
2,1,Tia Carrere,7,7,8,False,0.0402033134839683,100.0
2,1,Lisa Rinna,6,4,4,False,0.0882276296854374,100.0
2,1,George Hamilton,8,5,5,False,0.0873523970647282,100.0
2,1,Kenny Mayne,10,10,10,False,0.0105690684148836,100.0
2,1,Master P,9,9,9,False,0.0749818754620191,100.0
2,2,Stacy Keibler,1,3,1,False,0.1561722580991696,100.0
2,2,Drew Lachey,2,2,2,False,0.217949678425559,100.0
2,2,Giselle Fernandez,5,8,6,False,0.0254631576328895,100.0
2,2,Jerry Rice,3,1,3,False,0.2846324526940833,100.0
2,2,George Hamilton,4,4,4,False,0.0903878821324661,100.0
2,2,Tia Carrere,6,7,7,False,0.0415632757088876,100.0
2,2,Lisa Rinna,7,5,5,False,0.0902554524970166,100.0
2,2,Tatum O'Neal,9,9,9,False,0.0141809032384362,100.0
2,2,Master P,8,6,8,False,0.0793949395714921,100.0
2,3,Drew Lachey,1,2,1,False,0.2202090605137918,100.0
2,3,Stacy Keibler,2,3,2,False,0.1541999754112142,100.0
2,3,Tia Carrere,4,6,4,False,0.0428645529804403,100.0
2,3,Lisa Rinna,5,4,5,False,0.0837174111272859,100.0
2,3,George Hamilton,6,5,6,False,0.0929557984972388,100.0
